Dense_Forest,Moderate_Forest,Open_Forest,Scrub,Total
1994,13938,13205,8255,29137
21095,30557,15036,229,66688
2795,10279,15253,173,28327
333,3280,3693,250,7306
7068,32198,16345,610,55611
7,56,132,0,195
538,576,1123,0,2237
378,5092,9387,2994,14857
28,451,1123,154,1602
3113,7126,5195,315,15434
4281,8612,10719,548,23612
2603,9687,11321,688,23611
4501,21048,13026,4484,38575
1935,9508,9701,13,21144
6676,34341,36465,6002,77482
8721,20572,21485,4256,50778
905,6386,9556,1181,16847
489,9267,7363,600,17119
157,5801,12048,1,18006
1273,4534,6679,635,12486
6970,21552,23097,4327,51619
8,801,1040,33,1849
78,4342,12210,4760,16630
1102,1552,688,307,3342
3605,11030,11729,715,26364
1608,8787,10187,3615,20582
654,5236,1836,29,7726
2617,4080,8109,587,14806
5047,12805,6451,383,24303
3019,4160,9723,146,16902
5678,684,381,1,6743
1,14,6,0,22
0,80,127,5,207
1,6,13,0,20
0,16,11,0,27
0,18,35,0,52
